Pays,Catégorie,Item,Valeur,Plage
Djibouti,Salaries And Financing,Average Monthly Net Salary (After Tax),"4,594.50 €",
Djibouti,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.60,7.20-12.00
Dominica,Rent Per Month,Apartment (1 bedroom) in City Centre,258.41 €,238.01-784.49
Dominica,Rent Per Month,Apartment (1 bedroom) Outside of Centre,301.58 €,170.01-594.31
Dominica,Rent Per Month,Apartment (3 bedrooms) in City Centre,875.53 €,"612.02-1,188.62"
Dominica,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,569.52 €,510.02-950.89
Dominica,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,95.93 €,70.00-152.96
Dominica,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,41.55 €,27.20-50.00
Dominica,Salaries And Financing,Average Monthly Net Salary (After Tax),521.35 €,
Dominica,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.60,
Dominican Republic,Rent Per Month,Apartment (1 bedroom) in City Centre,398.57 €,183.78-875.65
Dominican Republic,Rent Per Month,Apartment (1 bedroom) Outside of Centre,214.82 €,116.75-551.34
Dominican Republic,Rent Per Month,Apartment (3 bedrooms) in City Centre,783.19 €,"321.07-1,516.08"
Dominican Republic,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,414.51 €,218.91-948.62
Dominican Republic,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,368.53 €","977.81-2,572.92"
Dominican Republic,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,990.15 €,"583.76-1,500.00"
Dominican Republic,Salaries And Financing,Average Monthly Net Salary (After Tax),361.89 €,
Dominican Republic,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.80,10.00-19.00
Ecuador,Rent Per Month,Apartment (1 bedroom) in City Centre,306.96 €,183.78-551.34
Ecuador,Rent Per Month,Apartment (1 bedroom) Outside of Centre,252.45 €,137.84-413.50
Ecuador,Rent Per Month,Apartment (3 bedrooms) in City Centre,527.18 €,321.62-849.98
Ecuador,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,418.50 €,275.67-735.12
Ecuador,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,066.39 €","689.18-1,837.80"
Ecuador,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,999.79 €,"573.68-2,297.25"
Ecuador,Salaries And Financing,Average Monthly Net Salary (After Tax),455.24 €,
Ecuador,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.94,7.00-13.00
Egypt,Rent Per Month,Apartment (1 bedroom) in City Centre,146.35 €,72.56-326.52
Egypt,Rent Per Month,Apartment (1 bedroom) Outside of Centre,83.74 €,36.28-217.68
Egypt,Rent Per Month,Apartment (3 bedrooms) in City Centre,274.64 €,126.98-598.63
Egypt,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,182.12 €,90.70-399.08
Egypt,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,600.78 €,"362.80-1,088.41"
Egypt,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,361.95 €,181.40-725.61
Egypt,Salaries And Financing,Average Monthly Net Salary (After Tax),126.76 €,
Egypt,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.95,8.00-25.00
El Salvador,Rent Per Month,Apartment (1 bedroom) in City Centre,670.50 €,505.40-827.01
El Salvador,Rent Per Month,Apartment (1 bedroom) Outside of Centre,566.55 €,422.69-937.28
El Salvador,Rent Per Month,Apartment (3 bedrooms) in City Centre,953.15 €,"542.15-1,378.35"
El Salvador,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,744.92 €,"459.45-1,010.79"
El Salvador,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,165.26 €","1,575.91-2,868.38"
El Salvador,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,143.83 €","781.07-1,608.08"
El Salvador,Salaries And Financing,Average Monthly Net Salary (After Tax),472.40 €,
El Salvador,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.50,6.00-13.00
Equatorial Guinea,Rent Per Month,Apartment (1 bedroom) in City Centre,304.90 €,228.67-381.12
Equatorial Guinea,Rent Per Month,Apartment (1 bedroom) Outside of Centre,162.61 €,106.71-228.67
Equatorial Guinea,Rent Per Month,Apartment (3 bedrooms) in City Centre,635.20 €,533.57-838.47
Equatorial Guinea,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,330.31 €,228.67-457.35
Equatorial Guinea,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,780.15 €,
Equatorial Guinea,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,592.69 €,
Equatorial Guinea,Salaries And Financing,Average Monthly Net Salary (After Tax),495.46 €,
Equatorial Guinea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.80,
Eritrea,Rent Per Month,Apartment (1 bedroom) in City Centre,436.48 €,275.67-597.29
Eritrea,Rent Per Month,Apartment (1 bedroom) Outside of Centre,367.56 €,183.78-551.34
Eritrea,Rent Per Month,Apartment (3 bedrooms) in City Centre,666.20 €,551.34-781.07
Eritrea,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,597.29 €,505.40-689.18
Eritrea,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,368.05 €,174.59-561.51
Eritrea,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,349.64 €","918.90-1,780.37"
Eritrea,Salaries And Financing,Average Monthly Net Salary (After Tax),974.03 €,
Eritrea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.00,
Estonia,Rent Per Month,Apartment (1 bedroom) in City Centre,611.70 €,400.00-800.00
Estonia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,446.63 €,300.00-650.00
Estonia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,039.15 €","600.00-1,700.00"
Estonia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,773.56 €,"500.00-1,050.00"
Estonia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,105.20 €","2,500.00-6,000.00"
Estonia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,904.37 €","2,150.00-4,000.00"
Estonia,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,478.82 €",
Estonia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.02,2.50-6.00
Eswatini,Rent Per Month,Apartment (1 bedroom) in City Centre,212.28 €,151.46-350.00
Eswatini,Rent Per Month,Apartment (1 bedroom) Outside of Centre,128.74 €,75.73-151.46
Eswatini,Rent Per Month,Apartment (3 bedrooms) in City Centre,388.75 €,302.92-504.87
Eswatini,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,292.82 €,227.19-353.41
Eswatini,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,302.92 €,201.95-403.89
Eswatini,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,227.19 €,151.46-302.92
Eswatini,Salaries And Financing,Average Monthly Net Salary (After Tax),469.52 €,
Eswatini,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.12,7.25-16.00
Ethiopia,Rent Per Month,Apartment (1 bedroom) in City Centre,601.55 €,"275.67-1,378.35"
Ethiopia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,354.48 €,185.56-918.90
Ethiopia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,141.51 €","630.41-3,216.15"
Ethiopia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,694.84 €,"418.10-1,102.68"
Ethiopia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,308.34 €","1,789.10-3,314.47"
Ethiopia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,601.07 €","996.58-2,665.73"
Ethiopia,Salaries And Financing,Average Monthly Net Salary (After Tax),184.60 €,
Ethiopia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",15.50,11.00-18.00
Falkland Islands,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,069.76 €","594.31-1,545.20"
Falkland Islands,Rent Per Month,Apartment (1 bedroom) Outside of Centre,594.31 €,
Falkland Islands,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,981.03 €","1,188.62-2,971.54"
Falkland Islands,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,188.62 €",
Falkland Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Falkland Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Falkland Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),"3,565.85 €",
Falkland Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.00,
Faroe Islands,Rent Per Month,Apartment (1 bedroom) in City Centre,893.52 €,"536.11-1,340.28"
Faroe Islands,Rent Per Month,Apartment (1 bedroom) Outside of Centre,759.49 €,"536.11-1,072.23"
Faroe Islands,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,608.34 €","1,340.28-2,010.42"
Faroe Islands,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,194.22 €","938.20-1,608.34"
Faroe Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,341.89 €","2,377.24-4,020.85"
Faroe Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,380.46 €","1,876.39-6,254.56"
Faroe Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,921.53 €",
Faroe Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.10,2.99-3.20
Fiji,Rent Per Month,Apartment (1 bedroom) in City Centre,577.57 €,"280.76-1,002.73"
Fiji,Rent Per Month,Apartment (1 bedroom) Outside of Centre,285.22 €,160.44-721.96
Fiji,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,283.49 €","802.18-2,807.64"
Fiji,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,767.38 €,"459.45-1,403.82"
Fiji,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,100.82 €","601.64-1,804.91"
Fiji,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,742.40 €,"401.09-1,278.58"
Fiji,Salaries And Financing,Average Monthly Net Salary (After Tax),697.98 €,
Fiji,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.50,4.00-12.00
Finland,Rent Per Month,Apartment (1 bedroom) in City Centre,777.93 €,"600.00-1,199.00"
Finland,Rent Per Month,Apartment (1 bedroom) Outside of Centre,630.46 €,500.00-900.00
Finland,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,327.93 €","900.00-2,000.00"
Finland,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,008.96 €","749.00-1,500.00"
Finland,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,958.06 €","2,500.00-9,000.00"
Finland,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,169.75 €","1,500.00-6,000.00"
Finland,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,698.21 €",
Finland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.80,2.00-5.00
France,Rent Per Month,Apartment (1 bedroom) in City Centre,769.47 €,"530.00-1,365.64"
France,Rent Per Month,Apartment (1 bedroom) Outside of Centre,606.16 €,"400.00-1,018.90"
France,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,441.37 €","900.00-3,082.76"
France,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,127.60 €","750.00-2,080.00"
France,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"5,796.35 €","3,000.00-12,260.87"
France,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,917.13 €","2,117.00-9,000.00"
France,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,368.47 €",
France,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.66,3.50-4.00
French Guiana,Rent Per Month,Apartment (1 bedroom) in City Centre,934.50 €,"750.00-1,288.00"
French Guiana,Rent Per Month,Apartment (1 bedroom) Outside of Centre,716.67 €,650.00-800.00
French Guiana,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,416.67 €","1,050.00-1,600.00"
French Guiana,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,400.00 €","1,200.00-1,500.00"
French Guiana,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,033.33 €","2,800.00-3,500.00"
French Guiana,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,766.67 €","2,500.00-3,000.00"
French Guiana,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,000.00 €",
French Guiana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.53,1.60-5.00
French Polynesia,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,131.30 €","1,005.60-1,257.00"
French Polynesia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,949.73 €,"838.00-1,005.60"
French Polynesia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,843.60 €","1,676.00-2,095.00"
French Polynesia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,592.20 €","1,257.00-2,011.20"
French Polynesia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"8,420.00 €","8,380.00-8,500.00"
French Polynesia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"6,971.65 €","4,320.00-9,890.96"
French Polynesia,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,557.00 €",
French Polynesia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.40,4.81-6.00
French Southern Territories,Rent Per Month,Apartment (1 bedroom) in City Centre,?,
French Southern Territories,Rent Per Month,Apartment (1 bedroom) Outside of Centre,?,
French Southern Territories,Rent Per Month,Apartment (3 bedrooms) in City Centre,?,
French Southern Territories,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,?,
French Southern Territories,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
French Southern Territories,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
French Southern Territories,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,698.00 €",
French Southern Territories,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Gabon,Rent Per Month,Apartment (1 bedroom) in City Centre,787.65 €,"381.12-1,219.59"
Gabon,Rent Per Month,Apartment (1 bedroom) Outside of Centre,457.35 €,
Gabon,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,931.02 €","1,219.59-2,286.74"
Gabon,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,736.84 €,457.35-990.92
Gabon,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"7,622.45 €",
Gabon,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,437.53 €",
Gabon,Salaries And Financing,Average Monthly Net Salary (After Tax),360.80 €,
Gabon,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.00,10.00-18.00
Gambia,Rent Per Month,Apartment (1 bedroom) in City Centre,94.24 €,
Gambia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,75.03 €,20.08-128.14
Gambia,Rent Per Month,Apartment (3 bedrooms) in City Centre,230.65 €,205.02-256.28
Gambia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,96.10 €,64.07-128.14
Gambia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,416.40 €","1,332.80-1,500.00"
Gambia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,028.62 €","1,000.00-1,057.24"
Gambia,Salaries And Financing,Average Monthly Net Salary (After Tax),57.66 €,
Gambia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.12,5.25-15.00
Georgia,Rent Per Month,Apartment (1 bedroom) in City Centre,506.62 €,331.31-827.01
Georgia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,350.11 €,231.92-505.40
Georgia,Rent Per Month,Apartment (3 bedrooms) in City Centre,941.00 €,"563.23-1,590.31"
Georgia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,590.61 €,397.58-993.94
Georgia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,426.18 €","828.29-2,319.20"
Georgia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,881.35 €,"596.37-1,325.26"
Georgia,Salaries And Financing,Average Monthly Net Salary (After Tax),464.57 €,
Georgia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.06,8.00-16.00
Germany,Rent Per Month,Apartment (1 bedroom) in City Centre,885.35 €,"600.00-1,500.00"
Germany,Rent Per Month,Apartment (1 bedroom) Outside of Centre,675.46 €,"450.00-1,190.00"
Germany,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,666.38 €","1,100.00-2,814.86"
Germany,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,267.61 €","800.00-2,141.43"
Germany,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"5,556.36 €","3,500.00-11,724.00"
Germany,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"4,405.94 €","2,500.00-8,156.00"
Germany,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,824.68 €",
Germany,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.98,3.50-4.01
Ghana,Rent Per Month,Apartment (1 bedroom) in City Centre,461.44 €,"229.73-1,102.68"
Ghana,Rent Per Month,Apartment (1 bedroom) Outside of Centre,129.97 €,55.70-353.11
Ghana,Rent Per Month,Apartment (3 bedrooms) in City Centre,922.00 €,"459.45-2,297.25"
Ghana,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,369.30 €,183.78-609.92
Ghana,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,689.27 €","1,000.94-4,594.50"
Ghana,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,297.25 €","2,297.25-2,769.47"
Ghana,Salaries And Financing,Average Monthly Net Salary (After Tax),186.17 €,
Ghana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",25.33,20.00-30.00
Gibraltar,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,551.39 €","1,307.48-1,782.93"
Gibraltar,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,444.50 €","1,297.58-1,664.06"
Gibraltar,Rent Per Month,Apartment (3 bedrooms) in City Centre,"3,133.84 €","2,756.70-3,565.85"
Gibraltar,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"2,795.73 €","2,258.37-3,565.85"
Gibraltar,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"9,872.06 €","7,131.71-13,074.79"
Gibraltar,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"7,583.88 €","5,968.88-9,508.94"
Gibraltar,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,708.06 €",
Gibraltar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.60,
Greece,Rent Per Month,Apartment (1 bedroom) in City Centre,482.14 €,350.00-700.00
Greece,Rent Per Month,Apartment (1 bedroom) Outside of Centre,390.00 €,280.00-600.00
Greece,Rent Per Month,Apartment (3 bedrooms) in City Centre,812.27 €,"550.00-1,200.00"
Greece,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,672.60 €,"450.00-1,100.00"
Greece,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,801.82 €","2,000.00-4,500.00"
Greece,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,282.31 €","1,500.00-3,800.00"
Greece,Salaries And Financing,Average Monthly Net Salary (After Tax),965.82 €,
Greece,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.62,3.80-6.00
Greenland,Rent Per Month,Apartment (1 bedroom) in City Centre,741.45 €,"312.69-1,321.41"
Greenland,Rent Per Month,Apartment (1 bedroom) Outside of Centre,736.08 €,"316.31-1,150.72"
Greenland,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,335.04 €","804.17-1,763.17"
Greenland,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,281.52 €","804.17-2,010.42"
Greenland,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,149.66 €","2,278.48-5,361.13"
Greenland,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"4,020.85 €","3,618.76-4,556.96"
Greenland,Salaries And Financing,Average Monthly Net Salary (After Tax),"3,864.87 €",
Greenland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.66,3.42-7.33
Grenada,Rent Per Month,Apartment (1 bedroom) in City Centre,511.25 €,408.01-850.03
Grenada,Rent Per Month,Apartment (1 bedroom) Outside of Centre,359.30 €,255.01-643.23
Grenada,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,166.04 €","680.02-2,756.70"
Grenada,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,711.62 €,"408.01-1,378.35"
Grenada,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,028.69 €","365.99-1,700.06"
Grenada,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"34,681.25 €","680.02-102,003.66"
Grenada,Salaries And Financing,Average Monthly Net Salary (After Tax),799.03 €,
Grenada,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.00,5.00-8.00
Guadeloupe,Rent Per Month,Apartment (1 bedroom) in City Centre,766.67 €,"500.00-1,000.00"
Guadeloupe,Rent Per Month,Apartment (1 bedroom) Outside of Centre,733.33 €,600.00-800.00
Guadeloupe,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,700.00 €","1,100.00-2,500.00"
Guadeloupe,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,700.00 €","900.00-2,200.00"
Guadeloupe,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,063.33 €","2,100.00-6,290.00"
Guadeloupe,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"4,211.67 €","2,600.00-5,435.00"
Guadeloupe,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,368.00 €",
Guadeloupe,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.22,3.50-4.95
Guam,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,659.03 €","918.90-2,251.31"
Guam,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,230.31 €","643.23-2,026.17"
Guam,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,588.24 €","2,067.53-3,216.15"
Guam,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"2,374.34 €","2,021.58-3,216.15"
Guam,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Guam,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,275.67 €,
Guam,Salaries And Financing,Average Monthly Net Salary (After Tax),"4,204.89 €",
Guam,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.22,3.70-4.75
Guatemala,Rent Per Month,Apartment (1 bedroom) in City Centre,531.87 €,297.58-918.90
Guatemala,Rent Per Month,Apartment (1 bedroom) Outside of Centre,329.36 €,178.55-735.12
Guatemala,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,107.66 €","535.64-1,904.50"
Guatemala,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,564.95 €,"238.06-1,071.28"
Guatemala,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,321.98 €","714.19-1,879.28"
Guatemala,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,993.51 €,"654.67-1,378.35"
Guatemala,Salaries And Financing,Average Monthly Net Salary (After Tax),499.56 €,
Guatemala,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.77,6.50-11.00
Guernsey,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,852.26 €","1,485.77-2,258.37"
Guernsey,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,772.12 €","1,426.34-2,139.51"
Guernsey,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,921.26 €","2,139.51-3,565.85"
Guernsey,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"2,727.22 €","2,377.24-3,565.85"
Guernsey,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"9,508.94 €","7,131.71-11,886.18"
Guernsey,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"7,924.12 €","5,943.09-9,508.94"
Guernsey,Salaries And Financing,Average Monthly Net Salary (After Tax),"4,073.00 €",
Guernsey,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.83,2.00-6.00
Guinea,Rent Per Month,Apartment (1 bedroom) in City Centre,579.38 €,478.68-743.47
Guinea,Rent Per Month,Apartment (1 bedroom) Outside of Centre,292.20 €,159.56-424.84
Guinea,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,736.22 €","1,102.68-2,831.46"
Guinea,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,942.61 €,"531.87-1,552.48"
Guinea,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,255.92 €,99.73-459.45
Guinea,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,367.56 €,
Guinea,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,308.74 €",
Guinea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.45,5.36-12.00
Guinea-Bissau,Rent Per Month,Apartment (1 bedroom) in City Centre,378.67 €,300.00-457.35
Guinea-Bissau,Rent Per Month,Apartment (1 bedroom) Outside of Centre,201.22 €,152.45-250.00
Guinea-Bissau,Rent Per Month,Apartment (3 bedrooms) in City Centre,631.12 €,500.00-762.25
Guinea-Bissau,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,415.56 €,381.12-450.00
Guinea-Bissau,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Guinea-Bissau,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Guinea-Bissau,Salaries And Financing,Average Monthly Net Salary (After Tax),958.41 €,
Guinea-Bissau,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Guyana,Rent Per Month,Apartment (1 bedroom) in City Centre,527.11 €,"275.26-1,315.88"
